#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="locationtreeLikelihood.location" reciprocalRates="true" scaleByTime="true" spec="beast.continuous.SampledMultivariateTraitLikelihood" useTreeLength="true">
#            <parameter dimension="22" id="location.location" minordimension="2" name="traitParameter">0.0</parameter>
#            <data id="location" spec="beast.evolution.alignment.AlignmentFromTraitMap">
#                <traitMap id="ttm" parameter="@location.location" randomizelower="-90 -180" randomizeupper="90 180" spec="beast.app.seqgen.SimulatedTreeTraitMap" traitName="location" value="">
#                    <tree estimate="false" id="tree" spec="beast.evolution.tree.RandomTree">
#                        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                            <parameter id="randomPopSize" name="popSize">100.0</parameter>
#                        </populationModel>
#                        <taxonset spec="beast.evolution.alignment.TaxonSet">
#                            <taxon id="t0" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t1" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="t5" spec="beast.evolution.alignment.Taxon"/>
#                        </taxonset>
#                    </tree>
#                </traitMap>
#                <userDataType id="LocationDataType.0" spec="beast.evolution.datatype.LocationDataType"/>
#            </data>
#            <tree idref="tree"/>
#            <siteModel id="geoContSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="diffusionModel.s:location" spec="beast.continuous.MultivariateDiffusionModel">
#                    <parameter dimension="4" id="precisionMatrix.s:location" minordimension="2" name="precisionMatrix">0.365 -1.78E-4 -1.78E-4 0.0516</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:location" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@tree">
#                <distr id="Exponential.c:location" spec="beast.math.distributions.Exponential">
#                    <parameter id="UCExpLambda.c:location" name="mean">1.0</parameter>
#                </distr>
#                <rateCategories dimension="10" id="expRateCategories.c:location" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="ucedMean.c:location" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	locationtreeLikelihood.joint	locationtreeLikelihood.data	precisionMatrix.1	precisionMatrix.2	precisionMatrix.3	precisionMatrix.4	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	ucedMean	
440000	-102.8673883766496	-102.8673883766496	-102.8673883766496	-60.7862070048818	0.6301011673807919	-0.19601501470131746	-0.19601501470131746	0.21993061165314273	1.0649547652610708E-4	3.1071570344548105E-8	0.9573961899577602	1.0649547652610708E-4	3.1071570344548105E-8	0.9573961899577602	3.0776860768880546E-4	
460000	-96.3294906064241	-96.3294906064241	-96.3294906064241	-53.96437646809803	0.7832160151636859	0.6014502723555415	0.6014502723555415	1.0100533857511715	1.0259183323007616E-4	1.8300345733141697E-8	1.038424704970503	1.0259183323007616E-4	1.8300345733141697E-8	1.038424704970503	2.2567618807031639E-4	
480000	-94.39832314336913	-94.39832314336913	-94.39832314336913	-53.59770791363757	0.8304423811121379	0.5691284310928636	0.5691284310928636	0.5651567514673557	2.535926269214755E-4	2.7295591390513145E-8	0.7054616877847371	2.535926269214755E-4	2.7295591390513145E-8	0.7054616877847371	3.5740999923709334E-4	
500000	-99.46116569285253	-99.46116569285253	-99.46116569285253	-59.798480253492855	0.8769629295687974	-0.025806450223957823	-0.025806450223957823	0.23371535352546968	3.042652606342217E-4	4.779249782781047E-8	0.9142003241209673	3.042652606342217E-4	4.779249782781047E-8	0.9142003241209673	3.1595418141284126E-4	
520000	-100.15453079058555	-100.15453079058555	-100.15453079058555	-60.201089994498005	4.372939340573221	1.033096904085919	1.033096904085919	0.685248076755581	6.132501565463468E-5	2.3175265568399103E-9	0.831401867418464	6.132501565463468E-5	2.3175265568399103E-9	0.831401867418464	6.279281394645859E-5	
540000	-93.7501800364573	-93.7501800364573	-93.7501800364573	-54.15919719548586	2.332490489960196	-0.4136742646610667	-0.4136742646610667	1.5179362676695345	8.364721106502809E-5	4.992655063386502E-9	0.8111634723360023	8.364721106502809E-5	4.992655063386502E-9	0.8111634723360023	6.355535680831735E-5	
560000	-101.52891514274006	-101.52891514274006	-101.52891514274006	-57.37972098411619	1.544860000852597	0.5025165069915846	0.5025165069915846	0.7447516559691166	4.397352973879129E-5	1.5817477262383398E-9	0.9765850507806612	4.397352973879129E-5	1.5817477262383398E-9	0.9765850507806612	3.800738446371692E-5	
580000	-100.27395541521628	-100.27395541521628	-100.27395541521628	-58.9806320149955	0.2559535428484373	0.12361651696032015	0.12361651696032015	0.23175947622742113	4.019782311003949E-4	4.350954488266483E-8	0.9098459834946859	4.019782311003949E-4	4.350954488266483E-8	0.9098459834946859	3.477909659879677E-4	
600000	-90.61499275012874	-90.61499275012874	-90.61499275012874	-50.7914622244259	0.6253781037834885	0.4598881786009533	0.4598881786009533	0.5249127595327477	5.211873377980253E-4	1.2625107332595181E-7	0.7858102331119678	5.211873377980253E-4	1.2625107332595181E-7	0.7858102331119678	3.039833807748228E-4	
620000	-85.08217228764897	-85.08217228764897	-85.08217228764897	-48.12833213520231	1.5011149866836482	0.708061733550219	0.708061733550219	0.6015784229531541	8.250694422189169E-4	2.6409737042220223E-7	0.8998894392392656	8.250694422189169E-4	2.6409737042220223E-7	0.8998894392392656	4.111358128600134E-4	
640000	-82.6975108558873	-82.6975108558873	-82.6975108558873	-46.86396311187159	1.1119542240420974	0.9663723396643624	0.9663723396643624	1.2772259800753072	7.377094069440645E-4	2.430071893170104E-7	0.7105943534078476	7.377094069440645E-4	2.430071893170104E-7	0.7105943534078476	4.3038706418671016E-4	
660000	-86.63547535103068	-86.63547535103068	-86.63547535103068	-46.13703489627389	0.778854601588685	0.7021310864700716	0.7021310864700716	0.7572679742061614	0.0014788119154339758	9.456895917039214E-7	0.7882289791673136	0.0014788119154339758	9.456895917039214E-7	0.7882289791673136	8.033956030582967E-4	
680000	-92.8556376112613	-92.8556376112613	-92.8556376112613	-53.28267508061218	0.8588286139495833	0.610776238651799	0.610776238651799	1.1523863939959915	3.0701091890191536E-4	1.2159166679093096E-7	1.130579924540523	3.0701091890191536E-4	1.2159166679093096E-7	1.130579924540523	3.030196810191916E-4	
700000	-95.38495994480002	-95.38495994480002	-95.38495994480002	-54.73817645657403	0.997611636529882	0.27696625335573943	0.27696625335573943	0.2133327343354347	3.7043401623514777E-4	1.0236166644216601E-7	0.9381599148820924	3.7043401623514777E-4	1.0236166644216601E-7	0.9381599148820924	4.567435960950877E-4	
720000	-97.61702118897249	-97.61702118897249	-97.61702118897249	-57.86309924380916	0.21008078956271412	0.20884335470255347	0.20884335470255347	0.4223810947043076	7.204934101207778E-4	3.8674044225766355E-7	1.2626105059231554	7.204934101207778E-4	3.8674044225766355E-7	1.2626105059231554	6.820021046617197E-4	
740000	-92.65631724862048	-92.65631724862048	-92.65631724862048	-52.95414576607078	0.8408968914942653	0.5161260895071104	0.5161260895071104	0.4984999276337218	4.929799857310637E-4	1.5657549286218374E-7	1.13148560307009	4.929799857310637E-4	1.5657549286218374E-7	1.13148560307009	2.9985717646552085E-4	
760000	-90.20669460208096	-90.20669460208096	-90.20669460208096	-51.95078325314392	0.005789437420237931	0.002085420231819708	0.002085420231819708	0.004376009238139383	0.07500182120585805	0.0038631995623590112	0.9148800451831589	0.07500182120585805	0.0038631995623590112	0.9148800451831589	0.06447660696741206	
780000	-98.82848118295894	-98.82848118295894	-98.82848118295894	-54.52897090547152	0.04059999286757332	0.046033652478688326	0.046033652478688326	0.06386704686669757	0.002805640033867693	4.048684647467287E-6	0.7875706527474636	0.002805640033867693	4.048684647467287E-6	0.7875706527474636	0.002123889110119103	
800000	-100.07043031637886	-100.07043031637886	-100.07043031637886	-60.96881704388591	3.869014033510629	-0.47172799752775085	-0.47172799752775085	1.5625855825839414	5.752603482365143E-5	3.2712720998532378E-9	1.2739359918027764	5.752603482365143E-5	3.2712720998532378E-9	1.2739359918027764	6.0662323935508744E-5	
820000	-91.47745337836145	-91.47745337836145	-91.47745337836145	-52.46459181516346	0.5891865088397411	0.42479976127988034	0.42479976127988034	0.6156556396535418	8.186490909962578E-4	8.765933315921333E-7	1.3548312375527103	8.186490909962578E-4	8.765933315921333E-7	1.3548312375527103	9.243018821377861E-4	
840000	-96.28350847203654	-96.28350847203654	-96.28350847203654	-54.797892847961535	1.6981689043286141	1.0449628837104066	1.0449628837104066	1.3318862976841088	6.31560078152664E-5	1.416085111180898E-9	0.6389038860731445	6.31560078152664E-5	1.416085111180898E-9	0.6389038860731445	5.485722186723849E-5	
860000	-92.05917261557133	-92.05917261557133	-92.05917261557133	-51.127163061665065	0.6513933341524548	0.17077055104523126	0.17077055104523126	0.37309500813144664	8.396356424123535E-4	3.6679912423740346E-7	1.125383759287085	8.396356424123535E-4	3.6679912423740346E-7	1.125383759287085	7.451501925550577E-4	
880000	-90.36228430225498	-90.36228430225498	-90.36228430225498	-48.74598300684189	4.776284235740606	5.051580261852073	5.051580261852073	6.408126757695797	1.224340643261548E-4	4.2450485992845276E-9	0.7821358612500187	1.224340643261548E-4	4.2450485992845276E-9	0.7821358612500187	7.285886808958432E-5	
900000	-85.55130165367697	-85.55130165367697	-85.55130165367697	-48.14919594027189	1.0309222243052953	0.8152755029889378	0.8152755029889378	1.2006932681598088	6.489482736347644E-4	1.85709603917678E-7	0.8729543162313484	6.489482736347644E-4	1.85709603917678E-7	0.8729543162313484	3.8774111342337897E-4	
920000	-89.59185087198931	-89.59185087198931	-89.59185087198931	-49.21891351241364	2.6646068586336273	2.467201495704794	2.467201495704794	5.687351466375075	1.1020997566629774E-4	4.606799387445347E-9	0.7539815965818711	1.1020997566629774E-4	4.606799387445347E-9	0.7539815965818711	6.52426791995041E-5	
940000	-91.4434270828555	-91.4434270828555	-91.4434270828555	-51.344017624617415	0.5303461743123387	0.34340828122558126	0.34340828122558126	0.3019201600211927	0.0032660541835590248	4.9917330578661885E-6	0.9926117870763869	0.0032660541835590248	4.9917330578661885E-6	0.9926117870763869	0.002366661732770677	
960000	-99.64408939092996	-99.64408939092996	-99.64408939092996	-55.88051793292411	1.3155498409123392	0.2336444212295252	0.2336444212295252	1.2013768132685934	1.174383558181956E-4	7.821281290611101E-9	1.0282606385719253	1.174383558181956E-4	7.821281290611101E-9	1.0282606385719253	7.444048538836265E-5	
980000	-88.58038286643232	-88.58038286643232	-88.58038286643232	-48.225967030614534	3.079929705979102	2.1113671822006768	2.1113671822006768	2.120578981678637	2.2724430115527298E-4	2.5851124171533702E-8	0.8957187615313178	2.2724430115527298E-4	2.5851124171533702E-8	0.8957187615313178	1.1677602419076931E-4	
