#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="rootPrior.location" spec="beast.math.distributions.MultivariateNormalDistribution">
#            <parameter dimension="2" id="RealParameter.02" name="mean">2.8 4.5</parameter>
#            <parameter dimension="4" id="RealParameter.03" minordimension="2" name="precision">0.001 0.0 0.0 0.001</parameter>
#            <arg id="rootTrait.location" spec="beast.evolution.tree.RootTrait">
#                <traitmap id="ttm" randomizelower="-90 -180" randomizeupper="90 180" spec="beast.app.seqgen.SimulatedTreeTraitMapPhyml" traitName="location">
#                    <tree IsLabelledNewick="true" id="tree" newick="(yilag:0.01000000,((fmimu:0.00022469,aiwdh:0.00022469):0.00065035,(eodys:0.00054818,lirbr:0.00054818):0.00032686):0.00912496)" spec="beast.util.TreeParser">
#                        <taxonset spec="beast.evolution.alignment.TaxonSet">
#                            <taxon id="yilag" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="fmimu" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="aiwdh" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="eodys" spec="beast.evolution.alignment.Taxon"/>
#                            <taxon id="lirbr" spec="beast.evolution.alignment.Taxon"/>
#                        </taxonset>
#                    </tree>
#                    <parameter dimension="18" id="location.location" minordimension="2">0.0</parameter>
#                    lirbr=3.375182 6.679017, 
#eodys=3.743403 5.378317, 
#yilag=6.616761 7.899907, 
#fmimu=7.001854 0.152245, 
#aiwdh=8.774219 8.292177
#                </traitmap>
#            </arg>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="locationtreeLikelihood.location" reciprocalRates="true" scaleByTime="true" spec="beast.continuous.SampledMultivariateTraitLikelihood" traitParameter="@location.location" tree="@tree" useTreeLength="true">
#            <data id="location" spec="beast.evolution.alignment.AlignmentFromTraitMap" traitMap="@ttm">
#                <userDataType id="LocationDataType.0" spec="beast.evolution.datatype.LocationDataType"/>
#            </data>
#            <siteModel id="geoContSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <substModel id="diffusionModel.s:location" spec="beast.continuous.MultivariateDiffusionModel">
#                    <parameter dimension="4" id="precisionMatrix.s:location" minordimension="2" name="precisionMatrix">0.25 0.0 0.0 0.25</parameter>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:location" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@tree">
#                <distr id="Exponential.c:location" spec="beast.math.distributions.Exponential">
#                    <parameter id="UCExpLambda.c:location" name="mean">1.0</parameter>
#                </distr>
#                <rateCategories dimension="8" id="expRateCategories.c:location" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="ucedMean.c:location" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	location.1	location.2	location.3	location.4	location.5	location.6	location.7	location.8	location.9	location.10	location.11	location.12	location.13	location.14	location.15	location.16	location.17	location.18	locationtreeLikelihood.joint	locationtreeLikelihood.data	precisionMatrix.1	precisionMatrix.2	precisionMatrix.3	precisionMatrix.4	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation	rootTrait.0	rootTrait.1	ucedMean	
200000	-37.77107032566164	-29.016684786010575	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.008967001860397	8.076523097329117	5.407751393103738	3.8616928832519717	6.2475938923514285	7.0743782431640225	6.85447674971146	5.533250601364378	-29.016684786010575	-17.36148542033384	2.2712964689786626	0.7307860159192071	0.7307860159192071	4.748175540186849	0.031202453256831138	2.1436035428424644E-4	1.1800790011185112	6.85447674971146	5.533250601364378	0.012506481766966736	
220000	-42.13706867643989	-33.39116560910365	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	8.212060719310205	7.304989634918751	3.7557056664653548	5.342150159636788	6.993405313705785	6.569739153648507	2.4178409686309292	5.128807096216681	-33.39116560910365	-19.919795585875505	2.4501842244648477	-0.3405162657543271	-0.3405162657543271	2.006589929020335	0.010926786259779752	7.517835187035697E-5	0.9442664776884965	2.4178409686309292	5.128807096216681	0.012669887731545173	
240000	-39.64037317951431	-30.88495555667011	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.620488018703819	7.567959845482719	3.759412495771225	6.053503385464154	3.7605972200808515	5.881050198702128	6.944624915006356	6.0468158323957075	-30.88495555667011	-20.77156077935027	0.47194239893051704	-0.2783686975223499	-0.2783686975223499	1.6013481601863588	0.026730466278283897	8.971230143350513E-4	1.241028833110764	6.944624915006356	6.0468158323957075	0.03379801433872214	
260000	-36.5963818547399	-27.84708712122417	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.118420338564817	8.25299620721236	4.130682417600174	4.789951961662478	7.3142868451231005	8.408058351751297	5.380233434874108	5.316805772541275	-27.84708712122417	-16.57372193210984	0.02969773696567195	0.0010955221497187752	0.0010955221497187752	0.032871269891436974	1.225670435606913	1.1799868982013433	1.091386134212766	5.380233434874108	5.316805772541275	1.2247801583369367	
280000	-45.65437117269539	-36.905481288626504	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.147100484215985	8.04617287646154	5.600197446018688	5.664692453835214	4.218880665713711	7.641570598374699	5.0237523611839165	3.247002477679071	-36.905481288626504	-22.883353046009947	0.4258025875825053	0.3654945221748494	0.3654945221748494	0.6201418415237334	0.02553792358926269	2.7170059412036965E-4	0.6653886350804247	5.0237523611839165	3.247002477679071	0.020861075774906784	
300000	-43.213514886372714	-34.45774715654149	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.048671593966035	8.301110322146284	4.707025504200174	4.707054994127577	6.346879871465299	4.6810439872757215	7.265906337727938	3.928642439332494	-34.45774715654149	-19.478102132291056	1.313736813483174	0.8299688479610126	0.8299688479610126	1.128843016458768	0.04711122773706941	7.102632444354143E-4	1.071163737131151	7.265906337727938	3.928642439332494	0.023013170562678736	
320000	-39.998874289052665	-31.238488432474334	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.4184866158585105	7.0605238903326	3.735039379022502	5.581045127528974	6.70526921384957	6.882900408399985	7.5547517533917645	7.1266629279967875	-31.238488432474334	-21.182678715400616	0.9087682905396992	-0.013085778906789502	-0.013085778906789502	1.193317411125971	0.02266703355211352	0.0010237766186445936	1.0277406005656804	7.5547517533917645	7.1266629279967875	0.031816733285807294	
340000	-47.987033102746736	-39.20308999716986	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	9.189451620826322	6.688919892855399	2.9689988523792374	7.886066493337993	1.8849877126297507	8.75188548193755	-1.6358606883703632	12.04616858572354	-39.20308999716986	-25.147740599226424	0.04195931382574295	0.04224130693919659	0.04224130693919659	0.05408385478553178	0.40369505220835267	0.05419100642707531	1.0538856258459746	-1.6358606883703632	12.04616858572354	0.2717585611850244	
360000	-47.57119698425586	-38.76893261706761	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	6.713806122321348	6.465132471806703	3.457195012434891	5.677596179678384	4.154870972134372	9.063535446792248	3.0652922827388642	15.139251082583364	-38.76893261706761	-24.053231952885223	2.0129301355150724	-0.017578313310149505	-0.017578313310149505	0.34990342132448776	0.01400819260948954	2.9765412361370968E-5	0.5342751909603946	3.0652922827388642	15.139251082583364	0.010506989005621654	
380000	-38.82198901776147	-30.0712584520329	6.616761	7.899907	7.001854	0.152245	8.774219	8.292177	3.743403	5.378317	3.375182	6.679017	7.856571607240388	7.942710263453996	5.259472706204006	4.5161407478885565	5.53324535950989	5.056414813588013	5.741475387171875	3.2573563580704983	-30.0712584520329	-18.46630603466545	0.3046053420293349	0.14830785936287075	0.14830785936287075	0.30154807469486944	0.1489416180410816	0.0038874289197910034	0.8819426277264139	5.741475387171875	3.2573563580704983	0.05924792119996575	
